Latitude,Longitude,Depth,Magnitude,Magnitude Type
20.036,147.311,27.1,5.9,1
19.992,147.227,25,5.7,0
20.07,147.252,25,5.8,0
-3.989,135.677,15,6,1
-7.359,155.753,35,5.7,0
-7.222,155.833,35,6.1,1
-63.66,-167.459,10,6.1,1
5.121,96.286,50,6.7,1
5.349,96.483,50,5.6,0
18.309,-100.125,85,5.8,0
-5.605,129.639,175,5.7,0
-5.401,126.688,10,6.2,1
13.558,146.268,15,5.7,0
51.42,-178.261,31.6,5.7,0
-1.808,138.694,20,5.8,0
39.528,21.267,25,6.2,1
-55.604,-28.129,30,5.9,1
-10.425,161.494,40,5.8,0
5.161,127.412,90,5.7,0
39.365,73.787,15,5.6,0
-20.304,-68.821,109.4,6.1,1
-59.076,-65.47,10,5.7,0
-0.897,101.313,179.3,6.7,1
-56.191,-27.608,125,5.8,0
51.851,176.105,30.7,5.8,0
36.034,77.714,20,5.9,1
12.115,143.729,20,5.8,0
53.567,-165.718,50,5.8,0
-6.794,154.934,15,5.6,0
58.207,-151.453,27.8,5.6,0
-41.394,-73.809,31.9,5.7,0
-44.881,35.508,10,5.8,0
47.649,154.23,40,6,1
-15.052,-73.315,97,5.7,0
-15.406,-173.343,29.6,6.2,1
47.449,154.503,35,5.6,0
-58.375,-26.956,163.4,6,1
52.539,-166.912,27.1,6.1,1
52.638,-167.155,27.6,5.9,1
-2.336,-77.519,15,5.7,0
64.65,-147.798,10,5.7,0
-25.076,-70.394,35,6.2,1
-5.859,130.325,90,5.8,0
-19.142,167.74,16.4,5.6,0
12.531,141.665,20,5.7,0
12.488,141.655,20,5.8,0
-9.543,157.752,25,5.6,0
-47.085,165.844,30,5.7,0
-7.249,128.596,150,5.5,0
54.358,-158.087,27.5,6.5,1
8.823,93.637,15,6.1,1
43.136,142.67,158.1,5.7,0
52.557,-168.19,27.3,6.1,1
8.571,125.941,200,5.7,0
4.894,126.855,75,5.7,0
5.479,-82.732,20,6.1,1
-0.869,132.73,30,6.2,1
7.557,134.69,20,6.4,1
-33.451,-178.828,20,6.1,1
40.751,30.8,30,7.4,1
39.568,40.445,20,6.2,1
6.747,-73.032,161.2,6.8,1
10.559,-67.33,25,6.6,1
40.764,30.609,15,5.7,0
-13.02,-76.731,50,5.7,0
-6.484,130.544,105,5.9,1
45.342,150.317,35,5.6,0
-24.719,-177.33,143.6,6.7,1
-14.89,166.756,20,5.7,0
35.388,135.43,364.3,6.3,1
43.094,-0.731,10,5.7,0
-4.41,152.439,20,6.3,1
31.079,93.639,20,5.7,0
0.873,98.876,75.1,5.7,0
27.693,127.685,110,5.6,0
10.295,125.881,35,6,1
-12.481,166.652,85,5.7,0
-25.265,-69.044,103.2,5.8,0
3.697,95.669,39.1,6.6,1
-60.761,-24.301,10,6.6,1
-60.898,-23.378,10,5.7,0
43.565,147.578,65.9,5.6,0
-14.94,166.902,25,5.8,0
12.173,140.765,20,6.2,1
12.273,140.896,20,5.6,0
31.633,100.262,10,6.4,1
31.587,100.255,10,5.8,0
45.444,151.353,35,6,1
-5.615,147.201,185,5.7,0
-10.656,-79.674,15,7,1
-31.278,-179.422,236.1,6.5,1
14.596,93.48,32.9,5.7,0
2.626,124.226,275,5.9,1
12.27,140.953,15,6.1,1
-27.623,-63.23,580.4,6.7,1
-54.55,-136.196,10,6.3,1
52.741,172.489,25,5.6,0
35.607,140.738,45,5.8,0
27.338,91.91,13.7,5.8,0
51.721,-176.222,55,5.6,0
-5.985,146.6,35,5.8,0
43.065,145.297,80,6.1,1
-57.799,-23.802,10,6.3,1
-49.736,164.009,20,7,1
-49.588,163.812,20,5.7,0
-20.729,169.932,100,6.2,1
44.626,149.487,40.6,6.2,1
-33.463,-70.532,83.1,5.9,1
-30.086,-71.446,50,6.2,1
-6.52,153.465,15,6.2,1
59.335,-147.157,20,5.9,1
28.984,129.95,30,5.7,0
10.878,-85.964,30,6.2,1
-5.631,153.959,25,6.8,1
49.107,156.309,32.4,5.6,0
-9.445,148.843,20,5.7,0
-5.623,154.057,35,5.9,1
-21.182,-179.186,636.8,7.2,1
30.449,142.687,10,5.6,0
-21.025,-179.146,642.9,5.6,0
52.13,152.592,461.8,5.8,0
-7.131,129.828,88.2,6,1
11.925,-85.872,160.4,7.1,1
1.715,127.493,125,5.7,0
17.241,121.886,35,5.7,0
79.765,2.851,15,6,1
-33.799,-179.34,35,5.7,0
24.401,122.218,71.1,6.8,1
24.416,122.275,75,5.7,0
-4.624,135.649,15,5.7,0
-17.727,-178.856,550,5.6,0
